deltaUev_OO_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009452828754, 0.001037376627]
BrWelectron_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1081526679, 0.108585701]
BrWmuon_ILC250: 99.9996% within the range, 0.0003625% underflow, 0% overflow
  [min, max]=[0.1080794158, 0.1086735424]
BrWtau_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.108111164, 0.1086365082]
deltag1Z_OO_ILC350: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001631209532, 0.001382679932]
deltaKgamma_OO_ILC350: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002298172469, 0.002176778783]
lambdaZ_OO_ILC350: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004111559728, 0.0003784962007]
